row_type,phase,experiment,kat,position_mode,base_trial,base_seed,divide_trial,divide_seed,unknown_bits,known_bits,split_bits,split_positions,max_workers,branch_id,assignment,branch_order,status,satisfiable,correct,recovered_key,branch_solve_time,experiment_wall_time,baseline_solve_time,variables,clauses
summary,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,01010,01010,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,144.83364491700195,3061.6358032920107,2247.9578224160014,105092,1723792
summary,worker_scaling,count1089_random1_20_split5_divide1_workers2,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,2,01010,01010,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,168.24143666698365,1679.2766753339965,2247.9578224160014,105092,1723792
summary,worker_scaling,count1089_random1_20_split5_divide1_workers4,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,4,01010,01010,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,258.5575695830048,1447.6490218340186,2247.9578224160014,105092,1723792
summary,worker_scaling,count1089_random1_20_split5_divide1_workers6,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,6,01010,01010,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,339.53156937498716,1330.8873766670004,2247.9578224160014,105092,1723792
summary,worker_scaling,count1089_random1_20_split5_divide1_workers8,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,8,01010,01010,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,351.31981466599973,1041.6793178340013,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split3_divide1_workers8,count1089,random,1,20262917,1,20261019,20,108,3,19;54;109,8,011,011,5,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,931.8198955830012,932.2081182920083,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split3_divide2_workers8,count1089,random,1,20262917,2,20261020,20,108,3,28;70;115,8,000,000,3,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1068.9004719999793,1069.120708625007,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split3_divide3_workers8,count1089,random,1,20262917,3,20261021,20,108,3,25;63;76,8,011,011,2,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1016.7716633749951,1016.8746327499975,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split4_divide1_workers8,count1089,random,1,20262917,1,20261019,20,108,4,19;54;109;115,8,0110,0110,13,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,503.14012687499053,1127.8686698749952,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split4_divide2_workers8,count1089,random,1,20262917,2,20261020,20,108,4,28;70;76;115,8,0010,0010,11,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,583.2900531660125,1071.7565587919962,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split4_divide3_workers8,count1089,random,1,20262917,3,20261021,20,108,4,25;33;63;76,8,0011,0011,2,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,578.3134202499932,578.5158546250022,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split5_divide2_workers8,count1089,random,1,20262917,2,20261020,20,108,5,28;63;70;76;115,8,01010,01010,6,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,255.6997389169992,256.206694374996,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split5_divide3_workers8,count1089,random,1,20262917,3,20261021,20,108,5,25;33;63;76;103,8,00110,00110,3,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,400.19396362500265,400.4283854170062,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split6_divide1_workers8,count1089,random,1,20262917,1,20261019,20,108,6,19;54;97;103;109;115,8,010010,010010,13,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,252.397503959015,501.07395495902165,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split6_divide2_workers8,count1089,random,1,20262917,2,20261020,20,108,6,28;63;70;76;115;126,8,010101,010101,22,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,293.4772710829857,834.216520957998,2247.9578224160014,105092,1723792
summary,split_depth,count1089_random1_20_split6_divide3_workers8,count1089,random,1,20262917,3,20261021,20,108,6,25;33;63;76;103;105,8,001100,001100,26,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,223.3375914169883,941.2172734579945,2247.9578224160014,105092,1723792
summary,generalization20,count1089_random2_20_split5_divide1_workers8,count1089,random,2,20262918,1,20261119,20,108,5,7;33;82;95;117,8,00011,00011,13,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,345.1918655000045,691.0651106250007,2053.4265930839993,105092,1723792
summary,generalization20,count1089_random2_20_split5_divide2_workers8,count1089,random,2,20262918,2,20261120,20,108,5,3;38;45;59;77,8,00100,00100,2,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,401.56631324999034,401.73121208301745,2053.4265930839993,105092,1723792
summary,generalization20,count1089_random2_20_split5_divide3_workers8,count1089,random,2,20262918,3,20261121,20,108,5,33;53;59;74;95,8,01001,01001,12,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,283.9555369169975,620.951300582994,2053.4265930839993,105092,1723792
summary,generalization20,count1089_random3_20_split5_divide1_workers8,count1089,random,3,20262919,1,20261219,20,108,5,3;15;38;87;102,8,01000,01000,31,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,277.2994214579812,1434.5931295840128,1882.0523522910007,105092,1723792
summary,generalization20,count1089_random3_20_split5_divide2_workers8,count1089,random,3,20262919,2,20261220,20,108,5,4;39;75;85;102,8,00000,00000,20,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,301.1427040830022,1052.6843823329837,1882.0523522910007,105092,1723792
summary,generalization20,count1089_random3_20_split5_divide3_workers8,count1089,random,3,20262919,3,20261221,20,108,5,23;38;90;103;125,8,00001,00001,10,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,597.706137125002,873.5600299999933,1882.0523522910007,105092,1723792
summary,challenge22,count1089_random1_22_split5_divide1_workers8,count1089,random,1,20263117,1,20261019,22,106,5,14;104;113;114;117,8,00001,00001,16,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1350.5627290830016,2488.5166819999868,,105092,1723790
summary,challenge22,count1089_random1_22_split5_divide2_workers8,count1089,random,1,20263117,2,20261020,22,106,5,35;78;84;111;113,8,00110,00110,21,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1210.8902249590028,3393.631234208995,,105092,1723790
summary,challenge22,count1089_random1_22_split5_divide3_workers8,count1089,random,1,20263117,3,20261021,22,106,5,14;17;35;49;78,8,00000,00000,12,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1108.212285333022,1972.5326147089945,,105092,1723790
